V1	astrocyte_of_the_spinal_cord	cardiac_fibroblast	CD8-positive_xx_alpha-beta_T_cell	endothelial_cell_of_umbilical_vein	fibroblast_of_dermis	fibroblast_of_pulmonary_artery	fibroblast_of_skin_of_right_biceps	fibroblast_of_the_conjunctiva	glomerular_endothelial_cell	lung_microvascular_endothelial_cell	osteoblast	skeletal_muscle_myoblast	T-helper_17_cell
chr16_79436935_79437295	0.0172	0.0399	0.0645	0.0357	0.0079	0.0392	0.0424	0.0403	0.0406	0.0214	0.0713	0.0336	0.0087
chr16_79437296_79437446	0.0055	0.0373	0.0137	0.034	0.0061	0.0397	0.0293	0.0314	0.0201	0.0472	0.0544	0.0176	0.0223
chr16_79437456_79437606	0.0102	0.0202	0.0301	0.0162	0.0544	0.0537	0.0497	0.043	0.0371	0.0491	0.0428	0.025	0.0184
chr16_79397778_79397928	0.0298	0.0176	0.0683	0.0114	0.0352	0.0321	0.0222	0.0345	0.0246	0.0396	0.0226	0.0508	0.012
chr16_79210975_79211205	0.003	0.0132	0.2555	0.0185	0.0191	0.0429	0.0437	0.0168	0.0116	0.0427	0.062	0.0226	0.045
chr16_79211216_79211366	0.0236	0.0238	0.0602	0.0356	0.0149	0.0195	0.0171	0.0237	0.0086	0.0286	0.0279	0.0125	0.0364
chr16_74363381_74363581	0.1219	0.2504	1	0.2249	0.2187	0.4715	0.2744	0.6045	0.0787	0.7063	0.1307	0.1501	0.6573
chr16_74352560_74352860	0.045	0.0316	0.0537	0.0637	0.0384	0.0485	0.0596	0.0398	0.0871	0.0755	0.0329	0.0334	0.0257
chr16_74353114_74353285	0.0526	0.0772	0.0775	0.0346	0.015	0.075	0.0686	0.0568	0.0591	0.0786	0.0526	0.0403	0.2131
chr16_73981035_73981205	0.0121	0.0131	0.0435	0.0704	0.0409	0.0244	0.0371	0.0173	0.03	0.0191	0.0484	0.0042	0.0463
chr16_73840165_73840315	0.0114	0.025	0.0234	0.0357	0.0105	0.0102	0.0098	0.0269	0.0133	0.0422	0.0199	0.0399	0.013
chr16_73738690_73738840	0.0249	0.0493	0.0291	0.039	0.0213	0.0344	0.034	0.0541	0.0332	0.0335	0.031	0.0398	0.0207
chr16_73739597_73739747	0.1042	0.0178	0.0171	0.011	0.0562	0.011	0.0096	0.0374	0.0773	0.0313	0.0096	0.0061	0.0369
chr16_73254855_73255062	0.025	0.0995	0.0277	0.0489	0.0161	0.075	0.159	0.1063	0.0202	0.0325	0.1465	0.0792	0.0118
chr16_70680855_70681065	0.2686	0.3397	0.0468	0.0559	0.0797	0.2599	0.0837	0.1962	0.0211	0.1002	0.2779	0.1895	0.0516
chr16_70681455_70681625	0.1126	0.1423	0.0878	0.0454	0.1012	0.1285	0.0665	0.0733	0.0732	0.1139	0.0537	0.1272	0.0304
chr16_65651655_65651905	0.0148	0.0437	0.0351	0.0414	0.0293	0.0465	0.1174	0.0302	0.0265	0.0187	0.0096	0.2493	0.0355
chr16_60575250_60575400	0.0662	0.0353	0.0025	0.0526	0.0173	0.0462	0.0528	0.0211	0.0091	0.0394	0.038	0.0233	0.0436
chr16_60575497_60575647	0.0082	0.029	0.0408	0.0079	0.0512	0.0339	0.0256	0.0196	0.0271	0.0156	0.0096	0.0041	0.0228
chr16_56418106_56418256	0.0162	0.0469	0.0535	0.0092	0.0079	0.0527	0.0271	0.063	0.0217	0.0416	0.076	0.0281	0.0607
chr16_56328929_56329415	0.301	0.1369	0.0468	0.0541	0.0312	0.089	0.1607	0.0236	0.0376	0.0573	0.0751	0.0695	0.036
chr16_56329475_56329625	0.0338	0.0661	0.0535	0.0426	0.0356	0.0369	0.0839	0.0446	0.0253	0.0376	0.164	0.0533	0.0339
chr16_56329755_56330365	0.0719	0.0712	0.0466	0.0697	0.0393	0.0643	0.1246	0.0434	0.0366	0.062	0.0678	0.0611	0.0383
chr16_55784515_55784725	0.0148	0.047	0.0369	0.0489	0.0169	0.0172	0.0167	0.0542	0.0077	0.035	0.0423	0.0236	0.0745
chr16_55619388_55619665	0.0292	0.0266	0.0244	0.1022	0.0329	0.0452	0.0906	0.0281	0.0435	0.0251	0.0188	0.0403	0.0272
chr16_55576385_55576997	0.5997	0.3098	0.0357	0.3485	0.2955	0.3126	0.5383	0.3117	0.4584	0.2641	0.0304	0.2038	0.0502
chr16_55577189_55577339	0.2471	0.057	0.02	0.0642	0.0365	0.063	0.0592	0.0069	0.1024	0.0137	0.0096	0.0495	0.0634
chr16_55577463_55577763	0.4379	0.3725	0.0212	0.3498	0.2549	0.5258	0.2463	0.5622	0.4622	0.2492	0.0242	0.1647	0.04
chr16_55540715_55540865	0.0749	0.0479	0.0155	0.0337	0.0387	0.044	0.0454	0.0397	0.0351	0.0251	0.0297	0.0123	0.0267
chr16_55143715_55143865	0.026	0.0153	0.0157	0.0193	0.1472	0.0071	0.0509	0.0421	0.0163	0.0083	0.0178	0.0523	0.0326
chr16_54987433_54987665	0.0157	0.0162	0.0468	0.0275	0.0922	0.0331	0.4583	0.0662	0.0418	0.0367	0.0235	0.0184	0.0148
chr16_54948279_54948429	0.0662	0.0338	0.0139	0.0067	0.0301	0.0629	0.0966	0.0619	0.0302	0.0256	0.0096	0.0186	0.0092
chr16_54948995_54949145	0.0125	0.0245	0.0052	0.0206	0.0564	0.0159	0.0827	0.0485	0.0284	0.022	0.0237	0.042	0.0254
chr16_54726535_54726685	0.0148	0.0242	0.0277	0.041	0.0414	0.0253	0.0514	0.0163	0.0095	0.0344	0.0497	0.0317	0.0157
chr16_54578712_54578959	0.0414	0.0523	0.0379	0.0161	0.058	0.0613	0.0325	0.0556	0.0222	0.0442	0.0223	0.0441	0.0384
chr16_54564175_54564374	0.0155	0.076	0.0107	0.0379	0.0993	0.0568	0.0957	0.053	0.0279	0.0186	0.155	0.0923	0.0325
chr16_53557235_53557485	0.044	0.0294	0.1621	0.0438	0.0244	0.0575	0.0238	0.0353	0.0333	0.0556	0.055	0.0498	0.0552
chr16_53551513_53552185	0.013	0.0295	0.2388	0.0815	0.0237	0.0472	0.0392	0.048	0.2182	0.1048	0.0318	0.0341	0.1964
chr16_53503965_53504158	0.05	0.0398	0.145	0.028	0.0251	0.0303	0.0419	0.0427	0.0253	0.0899	0.0096	0.031	0.0427
chr16_53504415_53504565	0.0268	0.0409	0.0437	0.032	0.0236	0.0289	0.0107	0.0455	0.0042	0.0499	0.0198	0.047	1e-04
chr16_53468535_53469618	0.6563	0.5969	1	1	0.4776	0.6457	0.3546	0.5479	1	1	0.5444	0.6336	1
